month,day,fajr,sunrise,dhuhr,asr,maghrib,isha
4,23,04:32,05:52,12:03,15:14,18:13,19:24
4,24,04:32,05:51,12:03,15:15,18:13,19:24
4,25,04:31,05:51,12:03,15:15,18:13,19:24
4,26,04:31,05:50,12:02,15:15,18:13,19:24
4,27,04:30,05:50,12:02,15:16,18:13,19:25
4,28,04:30,05:50,12:02,15:16,18:13,19:25
4,29,04:29,05:49,12:02,15:16,18:13,19:25
4,30,04:29,05:49,12:02,15:17,18:13,19:25
5,1,04:28,05:49,12:02,15:17,18:13,19:25
5,2,04:28,05:49,12:02,15:18,18:14,19:25
5,3,04:28,05:48,12:01,15:18,18:14,19:26
5,4,04:27,05:48,12:01,15:18,18:14,19:26
5,5,04:27,05:48,12:01,15:19,18:14,19:26
5,6,04:26,05:47,12:01,15:19,18:14,19:26
5,7,04:26,05:47,12:01,15:19,18:14,19:26
5,8,04:26,05:47,12:01,15:20,18:14,19:27
5,9,04:25,05:47,12:01,15:20,18:14,19:27
5,10,04:25,05:46,12:01,15:21,18:14,19:27
5,11,04:25,05:46,12:01,15:21,18:14,19:27
5,12,04:24,05:46,12:01,15:21,18:15,19:28
5,13,04:24,05:46,12:01,15:22,18:15,19:28
5,14,04:24,05:46,12:01,15:22,18:15,19:28
5,15,04:23,05:46,12:01,15:22,18:15,19:28
5,16,04:23,05:45,12:01,15:23,18:15,19:29
5,17,04:23,05:45,12:01,15:23,18:16,19:29
5,18,04:23,05:45,12:01,15:23,18:16,19:29
5,19,04:23,05:45,12:01,15:24,18:16,19:30
5,20,04:22,05:45,12:01,15:24,18:16,19:30
5,21,04:22,05:45,12:01,15:24,18:16,19:30
5,22,04:22,05:45,12:01,15:25,18:17,19:31
5,23,04:22,05:45,12:01,15:25,18:17,19:31
5,24,04:21,05:45,12:01,15:25,18:17,19:31
5,25,04:21,05:45,12:01,15:26,18:17,19:32
5,26,04:21,05:45,12:02,15:26,18:17,19:32
5,27,04:21,05:45,12:02,15:26,18:18,19:32
5,28,04:21,05:45,12:02,15:27,18:18,19:33
