month,day,fajr,sunrise,dhuhr,asr,maghrib,isha
4,23,04:38,05:55,12:05,15:15,18:13,19:24
4,24,04:38,05:55,12:05,15:15,18:13,19:24
4,25,04:35,05:53,12:04,15:17,18:13,19:24
4,26,04:35,05:53,12:04,15:17,18:13,19:24
4,27,04:35,05:53,12:04,15:17,18:13,19:24
4,28,04:35,05:53,12:04,15:17,18:13,19:24
4,29,04:35,05:53,12:04,15:17,18:13,19:24
4,30,04:33,05:51,12:03,15:19,18:13,19:25
5,1,04:33,05:51,12:03,15:19,18:13,19:25
5,2,04:33,05:51,12:03,15:19,18:13,19:25
5,3,04:33,05:51,12:03,15:19,18:13,19:25
5,4,04:31,05:51,12:03,15:21,18:13,19:26
5,5,04:31,05:51,12:03,15:21,18:13,19:26
5,6,04:31,05:51,12:03,15:21,18:13,19:26
5,7,04:31,05:51,12:03,15:21,18:13,19:26
5,8,04:31,05:51,12:03,15:21,18:13,19:26
5,9,04:29,05:49,12:02,15:22,18:14,19:27
5,10,04:29,05:49,12:02,15:22,18:14,19:27
5,11,04:29,05:49,12:02,15:22,18:14,19:27
5,12,04:29,05:49,12:02,15:22,18:14,19:27
5,13,04:29,05:49,12:02,15:22,18:14,19:27
5,14,04:29,05:49,12:02,15:22,18:14,19:27
5,15,04:28,05:48,12:02,15:24,18:14,19:28
5,16,04:28,05:48,12:02,15:24,18:14,19:28
5,17,04:28,05:48,12:02,15:24,18:14,19:28
5,18,04:28,05:48,12:02,15:24,18:14,19:28
5,19,04:28,05:48,12:02,15:24,18:14,19:28
5,20,04:27,05:48,12:02,15:26,18:15,19:30
5,21,04:27,05:48,12:02,15:26,18:15,19:30
5,22,04:27,05:48,12:02,15:26,18:15,19:30
5,23,04:27,05:48,12:02,15:26,18:15,19:30
5,24,04:27,05:48,12:02,15:26,18:15,19:30
5,25,04:27,05:48,12:02,15:26,18:15,19:30
5,26,04:26,05:47,12:03,15:28,18:16,19:32
5,27,04:26,05:47,12:03,15:28,18:16,19:32
5,28,04:26,05:47,12:03,15:28,18:16,19:32
5,29,04:26,05:48,12:03,15:29,18:17,19:33
5,30,04:26,05:48,12:03,15:29,18:17,19:33
5,31,04:26,05:48,12:03,15:29,18:17,19:33
6,1,04:26,05:48,12:04,15:30,18:18,19:34
6,2,04:26,05:48,12:04,15:30,18:18,19:34
6,3,04:26,05:48,12:04,15:30,18:18,19:34
6,4,04:26,05:48,12:04,15:30,18:18,19:34
6,5,04:26,05:48,12:04,15:30,18:18,19:34
6,6,04:26,05:48,12:04,15:30,18:18,19:34
6,7,04:25,05:48,12:05,15:32,18:19,19:36
6,8,04:25,05:48,12:05,15:32,18:19,19:36
6,9,04:25,05:48,12:05,15:32,18:19,19:36
6,10,04:25,05:48,12:05,15:32,18:19,19:36
6,11,04:25,05:49,12:05,15:33,18:20,19:37
6,12,04:25,05:49,12:05,15:33,18:20,19:37
6,13,04:25,05:49,12:05,15:33,18:20,19:37
6,14,04:25,05:49,12:05,15:33,18:20,19:37
6,15,04:26,05:49,12:06,15:33,18:21,19:38
6,16,04:26,05:49,12:06,15:33,18:21,19:38
6,17,04:26,05:49,12:06,15:33,18:21,19:38
6,18,04:26,05:50,12:07,15:34,18:22,19:38
6,19,04:26,05:50,12:07,15:34,18:22,19:38
6,20,04:26,05:50,12:07,15:34,18:22,19:38
6,21,04:27,05:51,12:08,15:35,18:23,19:39
6,22,04:27,05:51,12:08,15:35,18:23,19:39
6,23,04:27,05:51,12:08,15:35,18:23,19:39
6,24,04:27,05:51,12:08,15:35,18:23,19:39
6,25,04:27,05:51,12:08,15:35,18:23,19:39
6,26,04:28,05:52,12:09,15:36,18:24,19:41
6,27,04:28,05:52,12:09,15:36,18:24,19:41
6,28,04:28,05:52,12:09,15:36,18:24,19:41
6,29,04:28,05:52,12:09,15:36,18:24,19:41
6,30,04:28,05:52,12:09,15:36,18:24,19:41
7,1,04:29,05:53,12:10,15:37,18:25,19:41
7,2,04:29,05:53,12:10,15:37,18:25,19:41
7,3,04:29,05:53,12:10,15:37,18:25,19:41
7,4,04:29,05:53,12:10,15:37,18:25,19:41
7,5,04:29,05:53,12:10,15:37,18:25,19:41
7,6,04:29,05:53,12:10,15:37,18:25,19:41
7,7,04:31,05:54,12:11,15:38,18:25,19:42
7,8,04:31,05:54,12:11,15:38,18:25,19:42
7,9,04:31,05:54,12:11,15:38,18:25,19:42
7,10,04:31,05:54,12:11,15:38,18:25,19:42
7,11,04:33,05:55,12:11,15:38,18:26,19:42
7,12,04:33,05:55,12:11,15:38,18:26,19:42
7,13,04:33,05:55,12:11,15:38,18:26,19:42
7,14,04:33,05:55,12:11,15:38,18:26,19:42
7,15,04:33,05:55,12:11,15:38,18:26,19:42
7,16,04:33,05:55,12:11,15:38,18:26,19:42
7,17,04:33,05:55,12:11,15:38,18:26,19:42
7,18,04:33,05:55,12:11,15:38,18:26,19:42
7,19,04:35,05:57,12:12,15:37,18:26,19:41
7,20,04:35,05:57,12:12,15:37,18:26,19:41
7,21,04:35,05:57,12:12,15:37,18:26,19:41
7,22,04:35,05:57,12:12,15:37,18:26,19:41
7,23,04:35,05:57,12:12,15:37,18:26,19:41
7,24,04:36,05:57,12:12,15:36,18:25,19:40
7,25,04:36,05:57,12:12,15:36,18:25,19:40
7,26,04:36,05:57,12:12,15:36,18:25,19:40
7,27,04:36,05:57,12:12,15:36,18:25,19:40
7,28,04:36,05:57,12:12,15:36,18:25,19:40
7,29,04:36,05:57,12:12,15:36,18:25,19:40
7,30,04:37,05:58,12:12,15:34,18:25,19:38
7,31,04:37,05:58,12:12,15:34,18:25,19:38
8,1,04:37,05:58,12:12,15:34,18:25,19:38
8,2,04:37,05:58,12:12,15:34,18:25,19:38
8,3,04:37,05:58,12:12,15:34,18:25,19:38
8,4,04:37,05:58,12:12,15:34,18:25,19:38
8,5,04:39,05:59,12:12,15:32,18:23,19:37
8,6,04:39,05:59,12:12,15:32,18:23,19:37
8,7,04:39,05:59,12:12,15:32,18:23,19:37
8,8,04:39,05:59,12:12,15:32,18:23,19:37
8,9,04:39,05:59,12:12,15:32,18:23,19:37
8,10,04:39,05:58,12:11,15:29,18:21,19:34
8,11,04:39,05:58,12:11,15:29,18:21,19:34
8,12,04:39,05:58,12:11,15:29,18:21,19:34
8,13,04:39,05:58,12:11,15:29,18:21,19:34
8,14,04:39,05:58,12:11,15:29,18:21,19:34
8,15,04:40,05:58,12:10,15:25,18:20,19:32
8,16,04:40,05:58,12:10,15:25,18:20,19:32
8,17,04:40,05:58,12:10,15:25,18:20,19:32
8,18,04:40,05:58,12:10,15:25,18:20,19:32
8,19,04:40,05:58,12:10,15:25,18:20,19:32
8,20,04:40,05:58,12:09,15:22,18:18,19:30
8,21,04:40,05:58,12:09,15:22,18:18,19:30
8,22,04:40,05:58,12:09,15:22,18:18,19:30
8,23,04:40,05:58,12:09,15:22,18:18,19:30
8,24,04:40,05:58,12:08,15:19,18:16,19:28
8,25,04:40,05:58,12:08,15:19,18:16,19:28
8,26,04:40,05:58,12:08,15:19,18:16,19:28
8,27,04:41,05:58,12:07,15:16,18:15,19:26
8,28,04:41,05:58,12:07,15:16,18:15,19:26
8,29,04:41,05:58,12:07,15:16,18:15,19:26
8,30,04:41,05:59,12:07,15:13,18:13,19:24
8,31,04:41,05:59,12:07,15:13,18:13,19:24
9,1,04:41,05:57,12:07,15:13,18:13,19:24
9,2,04:41,05:57,12:06,15:10,18:12,19:22
9,3,04:41,05:57,12:06,15:10,18:12,19:22
9,4,04:41,05:57,12:06,15:10,18:12,19:22
9,5,04:41,05:57,12:05,15:07,18:10,19:21
9,6,04:41,05:57,12:05,15:07,18:10,19:21
9,7,04:41,05:57,12:05,15:07,18:10,19:21
9,8,04:41,05:57,12:05,15:07,18:10,19:21
9,9,04:40,05:56,12:03,15:07,18:08,19:19
9,10,04:40,05:56,12:03,15:07,18:08,19:19
9,11,04:40,05:56,12:03,15:07,18:08,19:19
9,12,04:40,05:56,12:02,15:08,18:07,19:17
9,13,04:40,05:56,12:02,15:08,18:07,19:17
9,14,04:40,05:56,12:02,15:08,18:07,19:17
9,15,04:39,05:55,12:01,15:08,18:05,19:15
9,16,04:39,05:55,12:01,15:08,18:05,19:15
9,17,04:39,05:55,12:01,15:08,18:05,19:15
9,18,04:39,05:54,12:00,15:09,18:03,19:13
9,19,04:39,05:54,12:00,15:09,18:03,19:13
9,20,04:39,05:54,12:00,15:09,18:03,19:13
9,21,04:39,05:54,12:00,15:09,18:03,19:13
9,22,04:39,05:54,12:00,15:09,18:03,19:13
9,23,04:38,05:54,11:58,15:10,18:01,19:11
9,24,04:38,05:54,11:58,15:10,18:01,19:11
9,25,04:38,05:54,11:58,15:10,18:01,19:11
9,26,04:38,05:54,11:58,15:10,18:01,19:11
9,27,04:38,05:53,11:57,15:10,17:59,19:08
9,28,04:38,05:53,11:57,15:10,17:59,19:08
9,29,04:38,05:53,11:57,15:10,17:59,19:08
9,30,04:38,05:53,11:57,15:10,17:59,19:08
10,1,04:37,05:53,11:56,15:10,17:57,19:06
10,2,04:37,05:53,11:56,15:10,17:57,19:06
10,3,04:37,05:52,11:55,15:10,17:55,19:05
10,4,04:37,05:52,11:55,15:10,17:55,19:05
10,5,04:37,05:52,11:55,15:10,17:55,19:05
10,6,04:37,05:52,11:55,15:10,17:55,19:05
10,7,04:36,05:52,11:54,15:10,17:53,19:03
10,8,04:36,05:52,11:54,15:10,17:53,19:03
10,9,04:36,05:52,11:53,15:10,17:52,19:02
10,10,04:36,05:52,11:53,15:10,17:52,19:02
10,11,04:36,05:52,11:53,15:10,17:52,19:02
10,12,04:36,05:52,11:53,15:10,17:52,19:02
10,13,04:36,05:52,11:53,15:10,17:52,19:02
10,14,04:35,05:51,11:52,15:10,17:50,19:00
10,15,04:35,05:51,11:52,15:10,17:50,19:00
10,16,04:35,05:51,11:52,15:10,17:50,19:00
10,17,04:35,05:51,11:51,15:10,17:49,18:59
